##Areaname	Larceny	Murder	MVTheft	Robbery	MinorsNHI	EstimatedPop
##UNITED STATES	6384687	16107	1196608	405471	10.8	295753151
##ALABAMA	97640	308	10796	5636	7.8	4545049
Tangipahoa, LA	2687	2	150	80	10	106221
Tensas, LA	0	0	0	0	13.6	5956
Terrebonne, LA	3559	9	270	102	10.6	106192
Union, LA	204	0	9	6	16.9	22734
Vermilion, LA	394	0	22	5	12.8	54909
Vernon, LA	791	0	29	9	18.4	50262
Washington, LA	801	4	79	41	7.8	43919
Webster, LA	369	5	33	9	10.6	40817
West Baton Rouge, LA	722	4	52	16	11.3	21531
West Carroll, LA	142	0	30	0	13.1	11784
West Feliciana, LA	98	2	13	7	15.3	15028
Winn, LA	0	0	0	0	10.1	15716
##MAINE	24056	19	1337	322	6.3	1311631
Androscoggin, ME	2241	3	135	44	4.4	106560
Aroostook, ME	958	2	52	7	6.4	72328
Cumberland, ME	5781	6	393	143	5.7	274344
Franklin, ME	563	0	32	6	7	29670
Hancock, ME	812	0	55	2	9.7	53077
Kennebec, ME	2527	1	97	16	5.5	120259
Knox, ME	764	1	31	5	8.3	40984
Lincoln, ME	362	1	24	3	12.5	34879
Oxford, ME	825	2	52	7	5.7	56229
Penobscot, ME	3326	0	138	33	6.1	147020
Piscataquis, ME	201	1	13	1	8.1	17255
Sagadahoc, ME	580	0	23	3	6.9	36317
Somerset, ME	998	1	46	4	5.6	50901
Waldo, ME	446	0	32	5	6.8	38131
Washington, ME	470	0	24	2	7	32840
York, ME	3202	1	190	41	6.2	200837
##MARYLAND	128483	552	34070	14378	9	5582520
Allegany, MD	1531	1	57	15	5.1	72694
Anne Arundel, MD	12413	19	1524	865	7.7	510194
Baltimore, MD	17620	40	3046	1769	8.7	782200
Calvert, MD	1188	2	86	26	9.9	86778
Caroline, MD	507	1	51	17	9	31591
Carroll, MD	2085	2	170	36	8.1	166926
Cecil, MD	1820	4	278	79	7.9	96631
Charles, MD	2989	4	627	195	7.2	137180
Dorchester, MD	840	0	77	43	8	31110
Frederick, MD	2652	1	197	148	9.6	219416
Garrett, MD	312	0	19	1	9.3	29654
Harford, MD	3591	2	359	193	7.7	237358
Howard, MD	5409	4	544	263	8.1	267788
Kent, MD	194	1	24	15	12.4	19749
Montgomery, MD	16509	21	2671	1109	11.9	928916
Prince George's, MD	28457	164	17242	5172	11	840513
Queen Anne's, MD	662	1	48	15	10.1	45056
St. Mary's, MD	1401	1	142	45	9.3	96982
Somerset, MD	500	1	27	28	6.6	25551
Talbot, MD	683	3	26	27	11.4	35657
Washington, MD	2306	4	261	111	6.5	141195
Wicomico, MD	2846	4	205	211	8.1	90489
Worcester, MD	1581	2	101	59	9.6	48828
Baltimore city, MD	20387	270	6288	3936	5.7	640064
##MASSACHUSETTS	94664	175	18470	7522	6	6453031
Barnstable, MA	3073	3	301	68	6.9	224877
Berkshire, MA	1594	3	142	49	6.1	131268
Bristol, MA	9518	13	1470	693	5.1	544688
Dukes, MA	231	0	19	2	13	15517
Essex, MA	9429	9	1904	669	7.3	730256
Franklin, MA	574	2	80	11	5.5	71929
Hampden, MA	10274	27	2568	988	4.6	465871
Hampshire, MA	1653	3	189	26	6.1	154124
Middlesex, MA	18654	15	2871	1020	5.8	1465156
Nantucket, MA	90	0	12	0	11.2	10608
Norfolk, MA	6377	3	730	267	5.9	650996
Plymouth, MA	5704	10	1107	292	6.1	488267
Suffolk, MA	18692	78	5329	2885	6.5	712228
Worcester, MA	8801	9	1748	552	5.7	787246
##MICHIGAN	190596	622	47928	13289	5.8	10090554
Alcona, MI	159	1	5	0	10.2	11513
Alger, MI	72	0	9	0	7.8	9538
Allegan, MI	1356	2	119	14	7.4	111945
Alpena, MI	414	2	19	4	5.3	30162
Antrim, MI	268	0	18	0	10.3	24199
Arenac, MI	131	0	12	1	6.8	16934
Baraga, MI	34	0	7	0	7.3	8678
Barry, MI	702	0	51	2	7	58944
Bay, MI	2100	1	190	50	5.5	108513
Benzie, MI	202	0	16	0	11.8	17463
Berrien, MI	3897	5	292	80	6.2	160310
Branch, MI	773	0	62	2	7.3	46354
Calhoun, MI	4169	7	302	141	5.3	138222
Cass, MI	603	0	62	4	6.7	50898
Charlevoix, MI	376	1	24	0	8.1	26327
Cheboygan, MI	411	0	24	0	6.4	27094
Chippewa, MI	605	0	50	4	5.3	38594
Clare, MI	604	0	50	3	5.2	31195
Clinton, MI	638	3	60	7	11.2	68816
Crawford, MI	147	0	22	3	5.5	14763
Delta, MI	322	0	15	0	5.6	37813
Dickinson, MI	383	0	13	0	5.9	27215
Eaton, MI	2063	2	166	35	6.3	107142
Emmet, MI	528	2	25	1	7	33278
Genesee, MI	10352	57	2700	773	5.1	439216
Gladwin, MI	225	0	26	4	6.9	26719
Gogebic, MI	75	0	6	0	5.2	16558
Grand Traverse, MI	1377	0	57	5	7	83450
Gratiot, MI	329	1	26	5	6.8	42149
Hillsdale, MI	567	0	41	3	6.5	46787
Houghton, MI	485	0	33	2	6.5	35494
Huron, MI	367	0	17	1	6.6	34069
Ingham, MI	7174	11	602	334	7.1	280533
Ionia, MI	861	1	101	4	5.7	63849
Iosco, MI	414	0	28	2	5.2	26523
Iron, MI	121	0	10	0	6.4	12214
Isabella, MI	1244	1	56	16	6.7	66124
Jackson, MI	3304	6	347	98	5.6	162530
Kalamazoo, MI	6658	6	573	255	6.8	242617
Kalkaska, MI	317	0	18	0	6.2	17103
Kent, MI	14734	14	1254	874	6.5	594988
Keweenaw, MI	50	0	1	0	17.8	2134
Lake, MI	145	0	11	1	7.7	11757
Lapeer, MI	1069	1	96	10	7.2	92226
Leelanau, MI	105	0	2	0	17.9	21865
Lenawee, MI	1395	0	111	13	5.8	100939
Livingston, MI	2068	1	199	19	6.7	179397
Luce, MI	52	0	6	0	5	6743
Mackinac, MI	450	0	12	0	7	11194
Macomb, MI	14453	15	3785	560	5.1	824286
Manistee, MI	308	1	23	1	7.1	24950
Marquette, MI	1149	2	81	3	4.9	65029
Mason, MI	802	1	34	0	6.8	28694
Mecosta, MI	862	1	36	11	6.2	42305
Menominee, MI	342	2	20	4	6.6	24578
Midland, MI	1222	0	60	5	6.2	83179
Missaukee, MI	149	0	14	2	9.3	15057
Monroe, MI	2432	2	349	49	4.9	152234
Montcalm, MI	1050	0	83	7	5.8	63039
Montmorency, MI	50	1	7	0	8.5	10377
Muskegon, MI	6409	4	569	170	4.8	173907
Newaygo, MI	821	2	55	1	9.1	49368
Oakland, MI	20743	27	3770	920	6.1	1203750
Oceana, MI	374	3	27	3	10.9	27867
Ogemaw, MI	250	1	20	3	6.6	21607
Ontonagon, MI	24	0	7	0	8.7	7226
Osceola, MI	294	0	23	1	6.1	23406
Oscoda, MI	170	0	16	0	8.6	9046
Otsego, MI	339	0	28	1	6	24278
Ottawa, MI	3597	2	209	38	7.1	254312
Presque Isle, MI	60	0	0	0	8.2	14001
Roscommon, MI	446	0	74	2	5.9	25735
Saginaw, MI	4215	22	679	292	5.1	206426
St. Clair, MI	2803	4	324	53	6.5	169594
St. Joseph, MI	1238	1	63	11	6.7	62356
Sanilac, MI	513	0	46	2	7.9	44004
Schoolcraft, MI	59	0	6	0	5.7	8663
Shiawassee, MI	1066	0	112	12	6.1	72223
Tuscola, MI	531	1	59	5	6.5	57484
Van Buren, MI	1449	3	138	14	7.1	77922
Washtenaw, MI	6915	8	936	273	6.3	343858
Wayne, MI	39798	394	28297	8075	4.3	2025145
Wexford, MI	768	0	32	1	5.2	31560
##MINNESOTA	112471	115	14167	5274	5.9	5106560
Aitkin, MN	247	0	33	0	7.8	15846
Anoka, MN	10674	4	853	178	6	320476
Becker, MN	536	0	56	4	5.2	31508
Beltrami, MN	1239	3	119	10	4.3	42653
Benton, MN	740	1	61	4	4.2	38656
Big Stone, MN	37	0	9	0	8.3	5425
Blue Earth, MN	1591	0	92	15	5.2	58470
Brown, MN	258	0	16	0	5.9	26079
Carlton, MN	496	0	58	0	5	33624
Carver, MN	880	0	57	4	5.8	83943
Cass, MN	673	4	101	9	7.9	28666
Chippewa, MN	164	0	9	0	6.1	12617
Chisago, MN	984	0	107	1	6.2	48599
Clay, MN	847	1	65	6	4.5	53303
Clearwater, MN	101	1	8	1	8	8235
Cook, MN	77	0	8	0	10.7	5297
Cottonwood, MN	110	0	10	0	7.7	11643
Crow Wing, MN	1542	1	121	12	5.5	59730
Dakota, MN	8208	5	523	111	5	381256
Dodge, MN	142	0	10	3	9.2	19243
Douglas, MN	494	1	34	1	5.6	35160
Faribault, MN	135	0	18	0	8.5	15144
Fillmore, MN	75	0	10	0	10	21081
Freeborn, MN	485	1	32	1	6.7	31479
Goodhue, MN	1024	1	87	5	7.8	45222
Grant, MN	62	0	1	0	9.9	6058
Hennepin, MN	30667	51	5529	3648	5.9	1121705
Houston, MN	146	0	13	1	6.9	19647
Hubbard, MN	355	0	45	1	5.2	18660
Isanti, MN	607	0	80	1	8.2	37209
Itasca, MN	296	0	53	3	5.6	44079
Jackson, MN	92	0	6	0	7.4	10918
Kanabec, MN	284	0	36	0	5.4	16007
Kandiyohi, MN	1006	0	48	7	6.6	40936
Kittson, MN	58	0	3	0	11.3	4721
Koochiching, MN	266	0	20	2	5.1	13701
Lac qui Parle, MN	30	0	3	0	9.2	7456
Lake, MN	51	0	12	0	6.3	10896
Lake of the Woods, MN	60	0	10	0	10.4	4260
Le Sueur, MN	264	0	21	1	7.6	27120
Lincoln, MN	11	0	0	0	10.6	5963
Lyon, MN	375	0	16	0	6.2	24756
McLeod, MN	552	0	42	3	6.6	36331
Mahnomen, MN	139	0	14	1	4.8	5074
Marshall, MN	98	0	4	0	9.9	9727
Martin, MN	338	0	14	2	6	20714
Meeker, MN	406	0	35	3	7.7	23064
Mille Lacs, MN	621	1	84	1	5.4	25488
Morrison, MN	667	0	41	1	6.4	32444
Mower, MN	1144	0	73	11	6.5	38192
Murray, MN	60	0	11	0	11.9	8694
Nicollet, MN	521	0	38	0	5.1	30964
Nobles, MN	219	0	17	4	8.4	20248
Norman, MN	33	0	3	0	8.7	6843
Olmsted, MN	2169	0	169	72	4.8	135071
Otter Tail, MN	742	1	58	3	8.2	56967
Pennington, MN	273	0	12	2	5	13593
Pine, MN	548	0	65	2	5.4	27923
Pipestone, MN	55	0	1	0	5.1	9265
Polk, MN	406	2	17	1	5.8	30733
Pope, MN	61	0	9	0	8.6	11061
Ramsey, MN	14303	26	3252	873	4.9	497118
Red Lake, MN	13	0	1	0	7.9	4225
Redwood, MN	256	0	24	1	6.2	15756
Renville, MN	202	0	40	2	10.1	16501
Rice, MN	1274	1	97	9	7.6	60544
Rock, MN	36	0	9	0	7.1	9429
Roseau, MN	210	0	10	0	7.8	16201
St. Louis, MN	4249	3	380	125	3.9	196553
Scott, MN	2047	1	153	19	6.9	118503
Sherburne, MN	1567	0	98	12	6.9	81224
Sibley, MN	4	0	1	0	12.8	14969
Stearns, MN	2917	4	161	33	5.8	142821
Steele, MN	759	0	58	5	5.9	35580
Stevens, MN	102	0	6	0	7	9733
Swift, MN	69	0	14	0	6.1	10379
Todd, MN	322	0	29	1	7	24038
Traverse, MN	38	0	1	1	9.7	3807
Wabasha, MN	182	0	9	0	8.2	21754
Wadena, MN	197	0	15	0	5.3	13446
Waseca, MN	326	0	22	0	6.1	19289
Washington, MN	4759	2	447	44	5.1	217534
Watonwan, MN	168	0	11	0	10.4	11204
Wilkin, MN	133	0	10	0	6.9	6634
Winona, MN	686	0	36	5	8.7	49570
Wright, MN	2139	0	178	9	7	109628
Yellow Medicine, MN	72	0	5	0	7.3	10277
##MISSISSIPPI	48505	163	6162	2002	12.3	2900116
Adams, MS	1270	2	53	20	9	31741
Alcorn, MS	634	1	30	17	12.5	35075
Amite, MS	0	0	2	1	18.6	13345
Attala, MS	117	0	4	13	10.1	19298
Benton, MS	0	0	0	0	12.2	7876
Bolivar, MS	795	3	6	6	7.3	37567
Calhoun, MS	12	0	0	0	12.8	14531
Carroll, MS	0	0	0	0	14.3	10261
Chickasaw, MS	24	1	0	5	17.2	19088
Choctaw, MS	0	0	0	0	14.5	9267
Claiborne, MS	54	4	3	2	15.8	11272
Clarke, MS	0	0	0	0	17	17321
Clay, MS	280	1	0	11	8.9	21104
Coahoma, MS	55	0	24	2	5.7	28265
Copiah, MS	6	0	0	0	11.4	28909
Covington, MS	113	0	10	3	14.7	20028
DeSoto, MS	3631	5	529	79	16.2	136134
Forrest, MS	1892	5	179	73	14.7	75726
Franklin, MS	0	0	0	0	17.5	8194
George, MS	186	0	26	2	16.9	20856
Greene, MS	0	0	0	0	15.6	13133
Grenada, MS	598	3	86	24	8.8	22726
Hancock, MS	519	0	43	4	14.3	46097
Harrison, MS	5701	17	614	199	12.4	195843
Hinds, MS	7621	39	2036	629	9.5	248970
Holmes, MS	11	1	1	2	6.6	20597
Humphreys, MS	96	0	0	6	5.6	10156
Issaquena, MS	0	0	0	0	9	1817
Itawamba, MS	174	2	20	5	14.6	23014
Jackson, MS	3147	12	626	117	12.1	134474
Jasper, MS	2	0	0	2	15.6	17811
Jefferson, MS	17	1	0	0	11	9089
Jefferson Davis, MS	0	0	0	0	13.2	12835
Jones, MS	1440	1	70	52	13	65915
Kemper, MS	0	0	0	0	12.2	10200
Lafayette, MS	407	2	38	5	16.7	41316
Lamar, MS	494	1	39	11	14	44164
Lauderdale, MS	1399	7	140	90	9.7	77151
Lawrence, MS	0	0	0	0	17.7	13243
Leake, MS	0	0	0	0	13.3	22421
Lee, MS	1774	1	173	56	12.5	78213
Leflore, MS	965	3	86	70	6.1	35284
Lincoln, MS	437	0	30	6	12.3	33645
Lowndes, MS	1390	2	87	42	10.4	59481
Madison, MS	1319	7	80	49	13.3	84406
Marion, MS	219	2	24	5	14.2	25069
Marshall, MS	273	0	32	12	11.2	35733
Monroe, MS	486	1	16	8	11.2	37200
Montgomery, MS	35	0	2	2	9.4	11597
Neshoba, MS	0	0	0	0	13	29698
Newton, MS	36	0	4	0	13.9	22022
Noxubee, MS	0	0	0	0	15.7	11951
Oktibbeha, MS	738	1	24	18	11.5	42443
Panola, MS	558	4	52	13	9.4	34928
Pearl River, MS	847	3	67	22	15.5	51764
Perry, MS	0	0	0	0	16.4	11999
Pike, MS	821	3	72	30	9.2	38633
Pontotoc, MS	0	0	0	0	14	28166
Prentiss, MS	234	1	2	0	10.6	25653
Quitman, MS	0	0	0	0	6.9	9283
Rankin, MS	1615	3	176	34	16.3	131367
Scott, MS	186	1	32	8	15.1	28843
Sharkey, MS	1	1	0	1	10.2	5912
Simpson, MS	230	2	30	6	14.1	27841
Smith, MS	0	0	0	0	17.3	15951
Stone, MS	353	2	13	5	15.4	14715
Sunflower, MS	490	2	20	20	8.2	31349
Tallahatchie, MS	91	0	7	0	8.3	13826
Tate, MS	355	0	57	13	12	26313
Tippah, MS	40	1	9	6	14	21221
Tishomingo, MS	26	0	8	23	16.8	18932
Tunica, MS	235	1	103	21	4.8	10165
Union, MS	166	1	26	6	15.2	26658
Walthall, MS	3	0	0	0	14.6	14972
Warren, MS	1637	6	147	39	9.8	48604
Washington, MS	2169	7	187	101	5.5	57626
Wayne, MS	15	0	7	0	12.3	20884
Webster, MS	1	0	3	1	15	9810
Wilkinson, MS	0	0	0	0	10.9	10149
Winston, MS	34	0	0	4	15.4	19654
Yalobusha, MS	31	0	7	1	11.4	13487
Yazoo, MS	0	0	0	0	9.1	27839
##MISSOURI	158527	402	25586	7168	8.1	5806639
Adair, MO	459	0	17	2	8.5	24569
Andrew, MO	141	0	19	0	11.9	16506
Atchison, MO	10	0	3	0	11.9	6182
Audrain, MO	340	0	20	8	8.8	25798
Barry, MO	622	2	62	1	13.6	35406
Barton, MO	267	2	19	1	9.3	12931
Bates, MO	302	1	23	1	12.2	16934
Benton, MO	280	0	28	1	12.1	18359
Bollinger, MO	67	0	3	0	11.3	12148
Boone, MO	3468	9	266	124	8.2	146337
Buchanan, MO	3311	2	378	65	6.6	87105
Butler, MO	1359	9	139	35	7.3	41258
Caldwell, MO	57	0	15	0	13.3	9162
Callaway, MO	894	2	73	17	7.5	42491
Camden, MO	917	1	41	8	13.9	39070
Cape Girardeau, MO	2180	0	66	36	8.9	71141
Carroll, MO	39	2	7	0	9.3	10071
Carter, MO	41	1	5	0	11.2	5877
Cass, MO	2348	2	186	12	8.8	93269
Cedar, MO	201	0	15	0	10	14019
Chariton, MO	53	0	2	0	13.6	7982
Christian, MO	781	1	91	7	16.1	66406
Clark, MO	52	0	3	0	13	7211
Clay, MO	6931	26	1519	453	8.4	205614
Clinton, MO	198	1	23	1	10.2	20530
Cole, MO	1652	8	107	37	7.7	72579
Cooper, MO	392	0	14	2	8.3	17273
Crawford, MO	550	1	25	7	9	23610
Dade, MO	37	0	6	0	12.5	7597
Dallas, MO	231	0	30	1	11.1	16202
Daviess, MO	56	0	7	1	14	8040
DeKalb, MO	130	1	19	1	11.6	12248
Dent, MO	204	0	10	0	8.1	14984
Douglas, MO	158	1	38	2	9.7	13333
Dunklin, MO	753	1	55	12	7.1	32023
Franklin, MO	1752	4	116	8	9.6	98159
Gasconade, MO	171	0	17	5	9.9	15466
Gentry, MO	14	0	5	0	15.7	6390
Greene, MO	11440	8	1036	212	7.8	254454
Grundy, MO	185	0	4	3	11.2	10170
Harrison, MO	64	1	12	1	9.9	8765
Henry, MO	700	3	39	6	8.5	22277
Hickory, MO	83	0	9	0	13.5	9092
Holt, MO	60	0	10	0	14.3	5020
Howard, MO	35	0	3	3	10.8	9903
Howell, MO	875	0	116	7	8.9	38066
Iron, MO	73	0	6	0	8.5	10199
Jackson, MO	27012	100	5719	1718	7	675996
Jasper, MO	4338	8	422	95	8.7	110999
Jefferson, MO	4935	1	377	34	7.4	210615
Johnson, MO	842	1	60	7	12.2	51473
Knox, MO	75	0	0	0	17.8	4109
Laclede, MO	765	1	44	4	7.7	34176
Lafayette, MO	518	2	67	4	9.3	32860
Lawrence, MO	739	0	67	4	11.2	36821
Lewis, MO	99	0	7	0	14.9	10052
Lincoln, MO	577	1	58	2	9.5	47408
Linn, MO	103	0	11	0	9.6	12985
Livingston, MO	228	0	22	3	9	14109
McDonald, MO	365	2	69	4	14.1	22659
Macon, MO	182	0	17	2	10.9	15536
Madison, MO	134	2	16	0	8.2	11980
Maries, MO	34	0	1	0	14.1	8983
Marion, MO	1160	0	12	26	7.1	28109
Mercer, MO	1	0	4	0	17	3512
Miller, MO	334	0	45	2	9	24547
Mississippi, MO	233	0	28	9	5.6	13649
Moniteau, MO	120	1	15	0	11.9	15052
Monroe, MO	62	0	4	0	12.4	9187
Montgomery, MO	163	0	13	0	12.6	12010
Morgan, MO	361	0	24	2	14.1	20340
New Madrid, MO	158	0	12	5	7.1	18090
Newton, MO	1614	0	218	12	9.9	54911
Nodaway, MO	337	0	14	0	11.2	22055
Oregon, MO	4	1	6	0	12.4	10270
Osage, MO	82	0	12	1	10.8	13317
Ozark, MO	66	0	4	1	13.8	9338
Pemiscot, MO	495	5	19	12	5.3	19047
Perry, MO	228	1	22	0	8	18428
Pettis, MO	1415	0	78	21	10.3	40127
Phelps, MO	1340	1	96	18	9.1	41995
Pike, MO	146	0	17	0	10.2	18629
Platte, MO	2651	11	568	185	8.6	84037
Polk, MO	575	0	33	2	9.6	29040
Pulaski, MO	466	5	48	18	13.5	43929
Putnam, MO	9	0	2	0	14.6	5032
Ralls, MO	67	0	14	0	11.7	9694
Randolph, MO	546	0	30	8	7.2	25434
Ray, MO	350	0	41	2	8.9	23457
Reynolds, MO	10	1	7	0	8.5	6480
Ripley, MO	220	0	27	1	11.4	13564
St. Charles, MO	6082	3	370	63	6	327594
St. Clair, MO	151	0	2	0	13	9457
Ste. Genevieve, MO	152	0	11	4	8.7	17876
St. Francois, MO	1097	0	113	15	7	61620
St. Louis, MO	23352	26	3322	796	6.2	999523
Saline, MO	295	0	11	1	10.9	22862
Schuyler, MO	4	0	4	0	16	4109
Scotland, MO	29	0	2	0	17.6	4765
Scott, MO	729	0	50	15	7	40620
Shannon, MO	32	0	19	0	9.8	8246
Shelby, MO	39	0	2	0	15.4	6644
Stoddard, MO	305	3	35	4	7.5	29771
Stone, MO	506	1	74	2	13.4	30460
Sullivan, MO	46	0	8	0	18.2	6894
Taney, MO	1416	2	118	10	10.7	43118
Texas, MO	273	0	40	1	11.8	24270
Vernon, MO	648	0	63	4	9.2	20210
Warren, MO	463	1	41	1	9.5	28588
Washington, MO	231	1	25	1	7.6	23815
Wayne, MO	98	1	11	0	9	12898
Webster, MO	427	0	20	4	11.9	34271
Worth, MO	11	0	2	0	12.5	2120
Wright, MO	163	0	20	0	9.4	18069
St. Louis city, MO	22886	131	8146	2965	4.8	352572
##MONTANA	21856	17	1777	169	12.4	934801
Beaverhead, MT	117	0	16	0	14.6	8761
Big Horn, MT	319	0	27	2	8.8	12769
Blaine, MT	53	0	3	1	11.8	6605
Broadwater, MT	160	0	8	0	16.2	4427
Carbon, MT	75	0	8	0	23.8	9759
Carter, MT	3	0	0	0	20.4	1270
Cascade, MT	3065	2	158	25	9.5	81766
Chouteau, MT	50	0	2	0	23	5304
Custer, MT	0	0	0	0	10.9	11155
Daniels, MT	0	0	0	0	33.1	1769
Dawson, MT	152	1	7	0	12.3	8536
Deer Lodge, MT	132	0	8	0	11.5	8991
Fallon, MT	13	0	2	0	19.6	2624
Fergus, MT	110	0	5	0	13.2	11246
Flathead, MT	1302	0	90	8	12.3	82535
Gallatin, MT	1893	0	203	11	17.7	80708
Garfield, MT	0	0	0	0	33.8	1173
Glacier, MT	162	1	8	0	7.2	13389
Golden Valley, MT	4	0	0	0	18.5	1114
Granite, MT	47	0	1	0	24.2	2895
Hill, MT	514	0	41	0	8.5	16201
Jefferson, MT	40	0	10	0	15.9	10770
Judith Basin, MT	12	0	0	0	23.8	2134
Lake, MT	495	2	74	2	16.1	27941
Lewis and Clark, MT	1117	2	120	12	8.5	58126
Liberty, MT	0	0	0	0	14.4	1944
Lincoln, MT	370	0	35	1	12.8	18666
McCone, MT	0	0	0	0	17.4	1743
Madison, MT	45	0	6	0	27.5	7082
Meagher, MT	26	0	1	0	22.7	1907
Mineral, MT	17	1	3	0	15.8	3941
Missoula, MT	3713	3	241	40	9.1	102064
Musselshell, MT	112	0	6	0	21.4	4376
Park, MT	210	0	29	0	15.9	15757
Petroleum, MT	0	0	0	0	26.9	460
Phillips, MT	41	0	1	0	15.6	4038
Pondera, MT	30	0	1	0	9.5	5973
Powder River, MT	0	0	0	0	25.8	1699
Powell, MT	63	0	4	0	11.2	6956
Prairie, MT	0	0	0	0	20.5	1077
Ravalli, MT	460	0	24	0	19.1	39205
Richland, MT	0	0	0	0	13.9	9020
Roosevelt, MT	13	0	0	0	11.9	10392
Rosebud, MT	73	0	7	0	11.4	9147
Sanders, MT	154	0	10	1	17.5	10732
Sheridan, MT	19	0	2	0	21.7	3471
Silver Bow, MT	976	0	152	12	8.2	32737
Stillwater, MT	97	0	6	0	17.1	8307
Sweet Grass, MT	32	0	12	0	26.6	3636
Teton, MT	56	0	4	0	25.3	6116
Toole, MT	47	0	10	0	12.1	5221
Treasure, MT	0	0	0	0	28.5	698
Valley, MT	70	0	9	0	13	7028
Wheatland, MT	2	0	0	0	16.1	2030
Wibaux, MT	4	0	5	0	22.9	917
Yellowstone, MT	5391	5	418	54	9.4	136493
Yellowstone National Park, MT	0	0	0	0	0	0
##NEBRASKA	43729	44	5461	1031	7.1	1751721
Adams, NE	795	0	24	5	7.4	32918
Antelope, NE	13	0	1	0	14	6930
Arthur, NE	0	0	0	0	23	369
Banner, NE	0	0	0	0	23.6	729
Blaine, NE	1	0	0	0	15.7	473
Boone, NE	3	0	2	0	15.1	5686
Box Butte, NE	95	0	13	1	7.8	11130
Boyd, NE	9	0	1	0	14	2210
Brown, NE	43	0	1	0	16.9	3285
Buffalo, NE	961	0	47	4	7.5	44010
Burt, NE	23	0	0	0	11.7	7219
Butler, NE	67	0	0	0	9.5	8495
Cass, NE	95	0	14	1	7.6	25363
Cedar, NE	0	1	0	0	16.4	8925
Chase, NE	13	0	2	0	17.4	3816
Cherry, NE	4	0	0	0	7.2	5911
Cheyenne, NE	165	0	9	3	7	9938
Clay, NE	26	0	0	0	15.3	6485
Colfax, NE	121	0	2	0	14.6	10200
Cuming, NE	28	0	3	0	15.2	9624
Custer, NE	115	0	2	0	9.9	11118
Dakota, NE	186	0	15	4	8.5	20027
Dawes, NE	50	0	8	0	7	8791
Dawson, NE	645	0	31	2	10.1	24477
Deuel, NE	19	0	7	0	13.2	1932
Dixon, NE	36	0	4	0	15.7	6143
Dodge, NE	823	0	55	2	6.8	35832
Douglas, NE	16067	31	3929	709	4.7	486863
Dundy, NE	0	0	0	0	20.3	2076
Fillmore, NE	3	0	0	1	11	6164
Franklin, NE	16	0	4	0	12	3359
Frontier, NE	32	0	1	0	16.5	2785
Furnas, NE	32	0	2	0	12.3	4845
Gage, NE	743	1	39	4	5.3	23029
Garden, NE	3	0	0	0	12.9	1954
Garfield, NE	0	0	0	0	11.6	1784
Gosper, NE	30	0	2	0	18.5	2004
Grant, NE	0	0	0	0	16.7	644
Greeley, NE	0	0	0	0	18.1	2422
Hall, NE	2307	1	123	15	7.3	54238
Hamilton, NE	101	0	6	0	8.4	9338
Harlan, NE	1	0	0	0	14.9	3455
Hayes, NE	0	0	0	0	23.8	1042
Hitchcock, NE	5	0	1	0	13.5	2899
Holt, NE	39	0	2	0	10.3	10610
Hooker, NE	0	0	0	0	14.2	741
Howard, NE	36	0	2	0	12.5	6522
Jefferson, NE	35	0	2	0	8.1	7793
Johnson, NE	0	0	0	0	14.6	5154
Kearney, NE	83	0	1	0	11.2	6651
Keith, NE	242	0	10	0	10.8	8105
Keya Paha, NE	1	0	0	0	16.7	890
Kimball, NE	18	0	2	0	12.9	3778
Knox, NE	25	0	1	1	10.1	8720
Lancaster, NE	11000	4	447	228	5	267564
Lincoln, NE	1396	1	65	8	7.4	35150
Logan, NE	0	0	0	0	21.2	739
Loup, NE	0	0	0	0	20.2	669
McPherson, NE	0	0	0	0	21.5	495
Madison, NE	845	0	39	7	9.8	35498
Merrick, NE	115	0	12	0	11	7811
Morrill, NE	37	0	5	0	11.9	5032
Nance, NE	14	0	6	0	13.6	3658
Nemaha, NE	98	0	9	0	8.3	7049
Nuckolls, NE	1	0	0	0	12.8	4688
Otoe, NE	267	0	10	0	8.6	15373
Pawnee, NE	50	0	5	0	12.6	2803
Perkins, NE	19	0	1	0	21.1	3032
Phelps, NE	147	0	15	0	8.3	9338
Pierce, NE	15	0	4	0	13.7	7460
Platte, NE	610	0	36	6	9.7	31121
Polk, NE	5	0	2	0	12.9	5275
Red Willow, NE	285	0	11	0	8	11018
Richardson, NE	74	0	9	0	7	8662
Rock, NE	16	0	1	0	17.7	1525
Saline, NE	242	1	9	2	12.7	13946
Sarpy, NE	2373	1	265	19	5.7	139135
Saunders, NE	109	0	15	3	8.3	20206
Scotts Bluff, NE	1013	1	64	5	6.2	36289
Seward, NE	148	0	11	0	9	16597
Sheridan, NE	32	1	5	0	9.4	5579
Sherman, NE	32	0	2	0	15	3087
Sioux, NE	0	0	0	0	16.6	1402
Stanton, NE	46	1	0	0	13	6441
Thayer, NE	79	0	7	0	14	5334
Thomas, NE	0	0	0	0	20.5	607
Thurston, NE	0	0	0	0	5.5	7250
Valley, NE	6	0	2	0	12.5	4328
Washington, NE	190	0	22	0	9.9	19600
Wayne, NE	17	0	1	0	9.2	9455
Webster, NE	35	0	3	0	12.1	3696
Wheeler, NE	2	0	2	0	21	802
York, NE	256	0	8	1	8.3	14106
##NEVADA	51916	206	26924	4700	15.2	2408804
Churchill, NV	604	3	58	5	14.8	24460
Clark, NV	36316	175	24057	4071	15.4	1708846
Douglas, NV	785	1	65	15	16.8	45731
